NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 70, Knox County, Ohio",154,15,51,88,0,2286,34,56,863,560,175,447,151,2196,598,330,330,185,179,179,100,1139,39,83,007000
"Census Tract 71, Knox County, Ohio",420,26,247,147,0,2203,88,263,927,478,167,207,73,1852,280,497,471,10,347,264,38,904,39,83,007100
"Census Tract 72, Knox County, Ohio",283,41,103,85,54,3409,185,127,1389,606,128,530,444,3097,974,739,655,210,495,385,212,1310,39,83,007200
"Census Tract 73.01, Knox County, Ohio",1743,9,457,1241,36,1169,5,6,348,188,61,254,307,1158,561,200,200,57,130,124,69,405,39,83,007301
"Census Tract 73.02, Knox County, Ohio",117,18,51,48,0,2834,197,120,981,477,197,696,166,2517,862,389,341,161,512,444,156,631,39,83,007302
"Census Tract 74, Knox County, Ohio",539,124,117,167,131,3866,197,212,1791,891,250,325,200,3457,525,601,537,24,724,603,179,1336,39,83,007400
"Census Tract 75, Knox County, Ohio",1186,38,275,829,44,2218,80,68,697,526,216,357,274,2070,631,238,223,39,485,474,200,853,39,83,007500
"Census Tract 76, Knox County, Ohio",711,88,278,176,169,3537,125,266,1600,635,219,413,279,3146,692,513,478,166,735,688,97,1405,39,83,007600
"Census Tract 77.01, Knox County, Ohio",294,25,146,123,0,2375,53,110,894,646,245,306,121,2212,427,465,438,55,339,320,106,979,39,83,007701
"Census Tract 77.02, Knox County, Ohio",310,0,128,137,45,2380,17,29,1002,432,249,551,100,2334,651,386,386,158,462,462,167,1091,39,83,007702
"Census Tract 2001, Lake County, Ohio",149,0,46,103,0,1402,43,72,398,270,132,321,166,1287,487,186,186,82,152,147,47,726,39,85,200100
"Census Tract 2002, Lake County, Ohio",142,0,72,52,18,1833,44,106,625,650,246,98,64,1683,162,413,399,32,411,411,4,613,39,85,200200
"Census Tract 2003, Lake County, Ohio",170,9,61,96,4,2285,11,131,720,726,185,344,168,2143,512,449,449,131,393,388,147,835,39,85,200300
"Census Tract 2004, Lake County, Ohio",487,20,237,172,58,2504,27,205,799,729,258,346,140,2272,486,581,518,160,483,449,157,871,39,85,200400
"Census Tract 2005, Lake County, Ohio",368,15,81,272,0,2115,27,85,904,432,154,329,184,2003,513,346,346,144,324,324,98,929,39,85,200500
"Census Tract 2006, Lake County, Ohio",353,36,151,106,60,2484,18,139,758,720,256,429,164,2327,593,459,459,266,584,549,90,864,39,85,200600
"Census Tract 2007, Lake County, Ohio",265,11,68,144,42,2708,111,96,914,606,384,404,193,2501,597,506,506,169,477,447,158,974,39,85,200700
"Census Tract 2008, Lake County, Ohio",348,0,77,219,52,2550,34,105,918,601,233,421,238,2411,659,362,352,152,322,311,85,1066,39,85,200800
"Census Tract 2009, Lake County, Ohio",262,11,87,141,23,1336,0,80,452,271,90,349,94,1256,443,176,170,62,205,197,75,503,39,85,200900
"Census Tract 2010, Lake County, Ohio",590,57,15,460,58,3612,128,128,758,776,362,891,569,3356,1460,810,810,386,589,589,331,1435,39,85,201000
"Census Tract 2011.01, Lake County, Ohio",61,0,0,22,39,1391,0,17,427,212,177,228,330,1374,558,352,352,212,610,593,200,363,39,85,201101
"Census Tract 2011.02, Lake County, Ohio",73,0,33,40,0,2386,46,112,326,513,230,515,644,2228,1159,261,261,124,318,318,208,935,39,85,201102
"Census Tract 2012, Lake County, Ohio",173,10,42,80,41,2922,76,114,1050,729,185,482,286,2732,768,648,648,224,243,234,95,838,39,85,201200
"Census Tract 2013, Lake County, Ohio",136,10,19,71,36,3008,18,112,979,749,176,632,342,2878,974,426,416,203,381,381,84,752,39,85,201300
"Census Tract 2014, Lake County, Ohio",226,48,28,100,50,2744,16,96,631,585,234,826,356,2632,1182,633,605,346,382,382,239,1093,39,85,201400
"Census Tract 2015, Lake County, Ohio",200,6,77,49,68,1753,49,65,394,353,221,389,282,1639,671,448,423,218,362,357,164,602,39,85,201500
"Census Tract 2016, Lake County, Ohio",245,0,81,76,88,2422,44,65,618,462,238,738,257,2313,995,416,406,213,311,291,141,1149,39,85,201600
"Census Tract 2017, Lake County, Ohio",455,46,154,243,12,4470,0,333,1559,1175,584,668,151,4137,819,1207,1151,389,697,651,77,1708,39,85,201700
"Census Tract 2018, Lake County, Ohio",439,50,195,179,15,2600,13,141,1002,589,267,404,184,2446,588,323,313,62,433,386,66,995,39,85,201800
"Census Tract 2019, Lake County, Ohio",130,41,42,47,0,2270,57,61,890,613,166,338,145,2152,483,458,448,172,274,274,54,919,39,85,201900
"Census Tract 2020, Lake County, Ohio",559,29,150,307,73,3774,154,175,1578,978,178,467,244,3445,711,587,570,179,563,542,139,1584,39,85,202000
"Census Tract 2021, Lake County, Ohio",305,0,71,223,11,1681,89,126,707,472,108,117,62,1466,179,341,332,92,276,234,49,655,39,85,202100
"Census Tract 2024, Lake County, Ohio",279,23,88,157,11,2331,53,123,815,665,171,344,160,2155,504,346,345,59,359,318,73,930,39,85,202400
"Census Tract 2025, Lake County, Ohio",372,0,181,112,79,3099,9,161,1184,716,273,575,181,2929,756,754,745,291,364,342,112,1357,39,85,202500
"Census Tract 2026, Lake County, Ohio",337,157,133,37,10,2655,34,259,1228,556,203,257,118,2362,375,390,390,69,619,567,80,1027,39,85,202600
"Census Tract 2027, Lake County, Ohio",515,37,239,200,39,4607,14,157,984,957,456,968,1071,4436,2039,318,318,147,765,764,323,2181,39,85,202700
"Census Tract 2028, Lake County, Ohio",298,77,111,70,40,4565,113,359,1458,913,440,880,402,4093,1282,753,694,226,453,399,114,1766,39,85,202800
"Census Tract 2029.01, Lake County, Ohio",377,37,140,111,89,3603,0,160,1180,791,311,913,248,3443,1161,422,422,177,666,666,269,1726,39,85,202901
"Census Tract 2029.02, Lake County, Ohio",116,22,21,52,21,1224,15,114,530,385,54,70,56,1095,126,156,142,29,129,129,0,458,39,85,202902
"Census Tract 2030, Lake County, Ohio",591,15,133,341,102,4458,48,276,1186,929,702,782,535,4134,1317,506,506,191,707,658,292,1945,39,85,203000
"Census Tract 2032, Lake County, Ohio",168,8,99,26,35,2653,43,222,624,729,207,632,196,2388,828,547,471,190,463,429,283,914,39,85,203200
"Census Tract 2034, Lake County, Ohio",258,21,126,66,45,3266,72,117,826,665,397,813,376,3077,1189,578,578,377,428,407,192,1225,39,85,203400
"Census Tract 2035, Lake County, Ohio",166,0,46,103,17,5157,42,189,1603,831,309,1330,853,4926,2183,666,666,492,588,574,336,1950,39,85,203500
"Census Tract 2037, Lake County, Ohio",261,27,37,126,71,2451,64,78,656,447,197,558,451,2309,1009,208,200,70,438,429,210,1080,39,85,203700
"Census Tract 2040, Lake County, Ohio",424,46,260,93,25,2181,15,162,671,439,321,309,264,2004,573,353,349,102,226,185,38,946,39,85,204000
"Census Tract 2042, Lake County, Ohio",212,29,70,96,17,2180,211,164,884,403,237,239,42,1805,281,581,508,162,559,440,58,691,39,85,204200
"Census Tract 2043.03, Lake County, Ohio",158,0,32,67,59,1568,3,48,396,336,129,464,192,1517,656,563,556,267,395,389,169,482,39,85,204303
"Census Tract 2043.04, Lake County, Ohio",1024,113,309,495,107,3211,209,277,1116,585,549,365,110,2725,475,353,352,74,758,619,105,1541,39,85,204304
"Census Tract 2044, Lake County, Ohio",273,171,51,51,0,2372,148,470,663,493,185,281,132,1754,413,458,244,11,543,321,171,790,39,85,204400
"Census Tract 2045, Lake County, Ohio",457,109,162,186,0,2506,154,366,1098,546,127,127,88,1986,215,946,861,64,422,277,22,669,39,85,204500
"Census Tract 2047, Lake County, Ohio",273,60,94,56,63,3674,58,183,1076,1188,310,584,275,3433,859,332,332,136,835,803,142,1457,39,85,204700
"Census Tract 2048, Lake County, Ohio",174,21,125,28,0,3968,87,153,1457,643,582,467,579,3728,1046,433,433,169,726,665,300,1520,39,85,204800
"Census Tract 2049, Lake County, Ohio",485,119,201,144,21,3973,132,100,1154,987,425,828,347,3741,1175,546,530,221,573,573,234,1771,39,85,204900
"Census Tract 2050.01, Lake County, Ohio",281,32,122,112,15,3903,20,134,923,820,350,847,809,3749,1656,524,506,299,527,517,251,1649,39,85,205001
"Census Tract 2050.02, Lake County, Ohio",271,23,112,109,27,4343,86,58,957,1257,535,843,607,4199,1450,635,624,261,552,548,211,2011,39,85,205002
"Census Tract 2051, Lake County, Ohio",218,36,21,134,27,5152,48,34,747,1202,531,1323,1267,5070,2590,451,448,115,968,947,530,2319,39,85,205100
"Census Tract 2052, Lake County, Ohio",356,8,163,152,33,2252,28,84,858,459,264,290,269,2140,559,322,294,67,165,165,82,1064,39,85,205200
"Census Tract 2053, Lake County, Ohio",61,0,29,32,0,1623,20,38,514,392,161,362,136,1565,498,211,205,100,224,221,99,805,39,85,205300
"Census Tract 2054, Lake County, Ohio",122,26,47,28,21,1137,24,35,495,276,106,136,65,1078,201,239,236,63,186,186,67,458,39,85,205400
"Census Tract 2057.01, Lake County, Ohio",421,236,121,31,33,3411,189,362,1154,854,282,381,189,2860,570,375,324,140,358,358,20,1467,39,85,205701
"Census Tract 2057.02, Lake County, Ohio",545,52,277,112,104,2102,11,171,883,577,284,60,116,1920,176,597,552,22,253,252,17,847,39,85,205702
"Census Tract 2058, Lake County, Ohio",65,5,40,20,0,932,4,51,315,202,50,242,68,877,310,103,103,34,131,121,38,475,39,85,205800
"Census Tract 2061, Lake County, Ohio",172,13,35,124,0,2391,99,121,795,555,312,320,189,2171,509,395,395,138,421,408,101,929,39,85,206100
"Census Tract 2062, Lake County, Ohio",87,34,23,26,4,1303,8,83,537,291,98,217,69,1212,286,160,157,27,218,194,65,509,39,85,206200
"Census Tract 2063, Lake County, Ohio",311,68,137,74,32,3521,163,234,1135,909,311,548,221,3124,769,391,374,114,763,631,209,1456,39,85,206300
"Census Tract 2064, Lake County, Ohio",222,38,106,49,29,3277,43,139,648,475,365,982,625,3095,1607,370,370,262,373,373,263,1452,39,85,206400
"Census Tract 2065, Lake County, Ohio",311,15,28,194,74,2728,67,122,689,683,297,520,350,2539,870,450,438,211,398,380,114,852,39,85,206500
"Census Tract 2066, Lake County, Ohio",433,67,123,160,83,3579,53,164,1356,771,449,538,248,3362,786,721,713,182,448,448,201,1411,39,85,206600
"Census Tract 2067, Lake County, Ohio",645,85,282,273,5,4258,105,295,1908,846,435,489,180,3858,669,741,741,136,638,552,123,1746,39,85,206700
"Census Tract 9900, Lake County, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,85,990000
"Census Tract 501, Lawrence County, Ohio",128,6,16,106,0,2081,34,355,803,397,205,227,60,1692,287,271,223,66,498,419,58,636,39,87,050100
"Census Tract 502, Lawrence County, Ohio",58,0,11,47,0,1670,123,45,1051,200,93,87,71,1502,158,320,320,20,231,225,58,575,39,87,050200
"Census Tract 503, Lawrence County, Ohio",146,54,34,42,16,1344,41,104,613,242,92,130,122,1199,252,250,218,8,237,197,93,536,39,87,050300
"Census Tract 504, Lawrence County, Ohio",438,186,173,61,18,2118,100,170,918,300,155,358,117,1848,475,226,226,120,277,277,51,884,39,87,050400
"Census Tract 505.01, Lawrence County, Ohio",169,15,74,53,27,2570,57,366,971,564,286,253,73,2147,326,427,427,79,160,160,0,1409,39,87,050501
"Census Tract 505.02, Lawrence County, Ohio",42,0,9,33,0,1788,20,156,870,356,275,111,0,1612,111,367,367,16,278,258,28,609,39,87,050502
"Census Tract 506, Lawrence County, Ohio",92,5,52,35,0,1157,85,180,613,104,80,68,27,892,95,190,190,13,167,144,8,458,39,87,050600
"Census Tract 507, Lawrence County, Ohio",225,27,167,19,12,2321,67,284,1184,264,269,200,53,1970,253,622,596,68,432,394,95,858,39,87,050700
"Census Tract 508, Lawrence County, Ohio",281,30,116,135,0,2528,61,124,1236,598,182,197,130,2343,327,347,335,0,829,815,80,752,39,87,050800
"Census Tract 509, Lawrence County, Ohio",257,18,179,60,0,1458,51,162,741,232,87,134,51,1245,185,290,250,28,154,137,22,700,39,87,050900
"Census Tract 510.01, Lawrence County, Ohio",550,12,399,139,0,2683,61,182,1118,679,204,338,101,2440,439,494,484,130,422,398,126,1078,39,87,051001
"Census Tract 510.02, Lawrence County, Ohio",486,120,213,153,0,2949,219,268,1317,459,326,252,108,2462,360,560,535,139,638,431,20,1134,39,87,051002
"Census Tract 511.01, Lawrence County, Ohio",475,211,219,45,0,2504,95,395,1067,280,275,164,228,2014,392,311,297,79,466,377,67,1026,39,87,051101
"Census Tract 511.02, Lawrence County, Ohio",170,16,154,0,0,2260,24,120,1150,554,274,75,63,2116,138,333,308,26,441,407,0,681,39,87,051102
"Census Tract 512, Lawrence County, Ohio",287,10,92,135,50,3813,91,267,1336,801,316,570,432,3455,1002,869,862,181,609,562,156,1554,39,87,051200
"Census Tract 513, Lawrence County, Ohio",333,30,162,120,21,2822,56,267,1340,360,232,411,156,2499,567,414,391,147,434,410,91,1139,39,87,051300
"Census Tract 514.01, Lawrence County, Ohio",169,18,22,121,8,3880,14,380,1439,1029,243,556,219,3486,775,649,649,93,526,526,115,1604,39,87,051401
"Census Tract 514.02, Lawrence County, Ohio",220,16,87,74,43,2242,17,146,861,443,239,364,172,2079,536,225,225,99,394,366,63,1045,39,87,051402
"Census Tract 7507, Licking County, Ohio",301,67,182,52,0,2355,163,289,1004,583,83,160,73,1903,233,330,265,9,446,380,145,1105,39,89,750700
"Census Tract 7510, Licking County, Ohio",159,45,66,33,15,1606,13,200,664,310,151,229,39,1393,268,553,473,137,334,323,64,525,39,89,751000
"Census Tract 7513, Licking County, Ohio",298,0,198,100,0,2531,43,142,1235,427,302,226,156,2346,382,602,553,117,671,627,37,941,39,89,751300
"Census Tract 7516, Licking County, Ohio",497,44,328,115,10,2282,9,68,768,675,289,353,120,2205,473,273,261,8,313,313,49,981,39,89,751600
"Census Tract 7519, Licking County, Ohio",406,105,129,172,0,3361,136,217,1565,668,160,474,141,3008,615,596,575,175,577,549,107,1307,39,89,751900
"Census Tract 7522, Licking County, Ohio",493,64,302,127,0,3212,48,377,1260,791,379,234,123,2787,357,727,678,64,702,616,83,1112,39,89,752200
"Census Tract 7525, Licking County, Ohio",513,159,242,108,4,2626,49,355,1076,645,347,113,41,2222,154,678,588,22,573,477,42,974,39,89,752500
"Census Tract 7528.01, Licking County, Ohio",283,42,42,199,0,2953,38,68,911,622,443,519,352,2847,871,479,479,136,529,508,225,1226,39,89,752801
"Census Tract 7528.02, Licking County, Ohio",393,0,210,183,0,2304,76,53,824,325,375,366,285,2175,651,282,263,102,420,374,175,846,39,89,752802
"Census Tract 7531, Licking County, Ohio",410,45,205,121,39,3458,39,244,1517,850,328,347,133,3175,480,454,412,66,595,561,130,1066,39,89,753100
"Census Tract 7533.01, Licking County, Ohio",443,37,129,255,22,2216,8,134,904,428,337,290,115,2074,405,493,423,89,237,213,48,771,39,89,753301
"Census Tract 7533.02, Licking County, Ohio",574,43,241,178,112,2638,22,97,778,543,283,534,381,2519,915,469,442,161,601,592,396,934,39,89,753302
"Census Tract 7536, Licking County, Ohio",282,0,119,109,54,1555,8,77,707,293,157,233,80,1470,313,323,323,73,180,180,92,705,39,89,753600
"Census Tract 7539, Licking County, Ohio",690,62,144,395,89,3631,47,51,769,454,284,1336,690,3533,2026,267,267,117,638,607,488,1547,39,89,753900
"Census Tract 7541.02, Licking County, Ohio",191,63,58,46,24,2064,27,94,702,387,212,454,188,1943,642,251,251,124,516,506,286,693,39,89,754102
"Census Tract 7541.03, Licking County, Ohio",207,21,175,11,0,1574,39,57,320,407,106,485,160,1478,645,355,355,150,323,305,134,590,39,89,754103
"Census Tract 7541.04, Licking County, Ohio",334,65,129,125,15,3557,48,248,1148,789,540,544,240,3261,784,594,566,184,451,418,123,1185,39,89,754104
"Census Tract 7544, Licking County, Ohio",400,0,171,202,27,4192,89,258,1995,757,290,704,99,3845,803,679,649,220,586,586,224,1851,39,89,754400
"Census Tract 7547, Licking County, Ohio",608,30,453,125,0,4016,72,271,1886,848,409,425,105,3673,530,464,435,87,769,701,63,1709,39,89,754700
"Census Tract 7550, Licking County, Ohio",235,3,89,141,2,5148,49,309,1452,1270,734,1098,236,4790,1334,904,801,160,1056,1038,550,2107,39,89,755000
"Census Tract 7553.01, Licking County, Ohio",298,50,121,127,0,2170,23,105,612,465,164,561,240,2042,801,222,222,89,694,694,314,742,39,89,755301
"Census Tract 7553.02, Licking County, Ohio",246,0,64,171,11,2943,63,63,1255,615,109,573,265,2817,838,648,648,160,636,605,272,955,39,89,755302
"Census Tract 7556.01, Licking County, Ohio",137,39,49,49,0,2338,9,82,514,313,198,723,499,2247,1222,220,205,146,252,252,101,1515,39,89,755601
"Census Tract 7556.02, Licking County, Ohio",118,16,13,84,5,1973,16,103,613,355,192,620,74,1854,694,109,109,23,396,394,226,781,39,89,755602
"Census Tract 7559.01, Licking County, Ohio",122,48,17,57,0,3339,72,77,1162,795,283,639,311,3190,950,1011,986,141,536,504,287,1321,39,89,755901
"Census Tract 7559.02, Licking County, Ohio",255,0,164,91,0,1462,0,134,691,264,166,167,40,1328,207,207,192,40,218,218,44,645,39,89,755902
"Census Tract 7562.01, Licking County, Ohio",187,62,10,26,89,1908,0,85,540,417,168,406,292,1823,698,388,374,87,261,261,175,693,39,89,756201
"Census Tract 7562.03, Licking County, Ohio",88,0,26,0,62,1817,19,31,322,350,135,554,406,1767,960,241,241,100,324,293,176,909,39,89,756203
"Census Tract 7562.04, Licking County, Ohio",585,49,372,131,33,3925,108,162,660,895,526,780,794,3655,1574,966,966,497,891,847,496,1558,39,89,756204
"Census Tract 7565, Licking County, Ohio",245,50,127,35,33,2984,48,299,934,704,290,436,273,2637,709,628,614,215,541,453,166,1106,39,89,756500
"Census Tract 7568.01, Licking County, Ohio",338,118,53,117,50,2544,5,176,1000,640,252,258,213,2363,471,495,465,76,363,348,75,1125,39,89,756801
"Census Tract 7568.02, Licking County, Ohio",228,38,154,21,15,843,18,0,270,216,73,252,14,825,266,101,101,29,148,148,94,359,39,89,756802
"Census Tract 7568.03, Licking County, Ohio",196,0,126,70,0,2470,33,82,679,525,315,570,266,2355,836,328,307,71,502,502,258,1087,39,89,756803
"Census Tract 7571, Licking County, Ohio",164,22,90,40,12,3068,61,185,913,614,340,703,252,2822,955,513,490,250,600,559,216,1183,39,89,757100
"Census Tract 7574.01, Licking County, Ohio",157,23,33,101,0,2764,28,173,687,652,248,724,252,2563,976,777,767,368,720,692,240,925,39,89,757401
"Census Tract 7574.02, Licking County, Ohio",60,12,20,0,28,1726,0,24,572,581,55,347,147,1702,494,502,502,70,270,270,44,629,39,89,757402
"Census Tract 7577.01, Licking County, Ohio",1057,0,193,826,38,1549,0,0,132,143,95,611,568,1549,1179,178,178,75,144,144,101,634,39,89,757701
"Census Tract 7577.02, Licking County, Ohio",1446,0,311,1112,23,2851,2,17,263,493,298,952,826,2832,1778,468,468,396,356,356,182,1217,39,89,757702
"Census Tract 7583, Licking County, Ohio",124,0,65,59,0,2318,61,350,814,599,228,155,111,1907,266,319,262,84,236,181,22,1038,39,89,758300
"Census Tract 7586.01, Licking County, Ohio",292,0,207,36,49,2196,0,106,832,515,262,436,45,2090,481,219,219,0,498,498,138,1206,39,89,758601
"Census Tract 7586.02, Licking County, Ohio",295,0,35,178,82,3023,58,188,1126,581,298,559,213,2777,772,342,342,96,448,448,148,1297,39,89,758602
"Census Tract 7589.01, Licking County, Ohio",193,58,98,29,8,1745,17,89,805,339,187,240,68,1639,308,280,246,89,271,259,48,873,39,89,758901
"Census Tract 7589.02, Licking County, Ohio",275,25,137,94,19,2245,88,84,1004,319,249,445,56,2073,501,473,414,85,240,240,36,950,39,89,758902
"Census Tract 7590, Licking County, Ohio",320,71,67,182,0,2409,150,463,1049,415,124,180,28,1796,208,527,438,52,375,263,39,985,39,89,759000
"Census Tract 7591.01, Licking County, Ohio",401,31,147,136,87,3172,47,256,1329,550,299,506,185,2869,691,540,505,97,460,460,158,1421,39,89,759101
"Census Tract 7591.02, Licking County, Ohio",268,28,9,62,169,1907,5,80,307,377,67,586,485,1822,1071,227,227,83,306,230,193,963,39,89,759102
"Census Tract 38, Logan County, Ohio",374,14,174,115,71,2451,38,199,1138,420,207,340,109,2214,449,368,301,85,511,470,127,1115,39,91,003800
"Census Tract 39, Logan County, Ohio",550,41,209,254,46,3109,84,175,1498,657,256,300,139,2850,439,546,522,92,642,536,104,1207,39,91,003900
"Census Tract 40, Logan County, Ohio",154,59,31,62,2,2531,54,82,1016,517,331,311,220,2395,531,117,117,28,217,214,27,1167,39,91,004000
"Census Tract 41, Logan County, Ohio",202,18,128,48,8,1950,53,168,904,425,139,166,95,1729,261,280,260,58,307,298,61,713,39,91,004100
"Census Tract 42, Logan County, Ohio",107,9,63,35,0,1362,34,122,640,216,57,192,101,1206,293,196,184,54,198,177,21,608,39,91,004200
"Census Tract 43, Logan County, Ohio",381,27,243,83,28,3819,52,135,1998,732,340,242,320,3632,562,375,373,67,588,555,71,1879,39,91,004300
"Census Tract 44, Logan County, Ohio",527,52,241,88,146,3060,53,271,1425,650,394,255,12,2736,267,875,843,80,619,559,42,815,39,91,004400
"Census Tract 45, Logan County, Ohio",287,35,137,67,48,2573,34,226,1333,443,205,201,131,2313,332,866,861,76,472,295,59,862,39,91,004500
"Census Tract 46, Logan County, Ohio",352,88,124,123,17,3744,2,163,1425,856,475,439,384,3579,823,834,834,201,647,631,109,1080,39,91,004600
"Census Tract 47, Logan County, Ohio",355,16,281,58,0,3799,68,180,1669,683,360,720,119,3551,839,428,302,71,656,627,179,1844,39,91,004700
"Census Tract 48, Logan County, Ohio",258,15,108,114,21,2895,25,118,1180,717,312,401,142,2752,543,333,332,83,413,399,136,1328,39,91,004800
"Census Tract 102, Lorain County, Ohio",124,0,31,28,65,2869,14,68,538,614,350,801,484,2787,1285,330,330,192,474,451,270,1220,39,93,010200
"Census Tract 103, Lorain County, Ohio",106,0,13,57,36,4083,45,53,1021,612,508,1011,833,3985,1844,490,490,290,751,751,390,1665,39,93,010300
"Census Tract 104, Lorain County, Ohio",315,11,145,79,80,2718,1,99,413,601,313,629,662,2618,1291,509,498,298,471,440,358,986,39,93,010400
"Census Tract 131.01, Lorain County, Ohio",156,9,46,86,15,3176,53,111,723,564,166,866,693,3012,1559,394,394,290,417,336,241,1198,39,93,013101
"Census Tract 131.02, Lorain County, Ohio",221,48,41,70,62,3182,21,68,381,531,241,1069,871,3093,1940,117,117,69,687,685,546,1548,39,93,013102
"Census Tract 132.01, Lorain County, Ohio",518,41,43,434,0,5262,9,160,709,548,194,2370,1272,5093,3642,605,605,532,1138,1121,928,2373,39,93,013201
"Census Tract 132.02, Lorain County, Ohio",264,84,59,121,0,3684,8,38,729,748,448,972,741,3638,1713,666,666,357,832,832,472,1417,39,93,013202
"Census Tract 211, Lorain County, Ohio",415,58,165,156,36,2542,11,95,878,478,381,520,179,2436,699,426,414,236,567,567,175,1002,39,93,021100
"Census Tract 212, Lorain County, Ohio",242,39,95,93,15,4261,88,292,1722,1009,606,369,175,3881,544,911,843,125,537,519,101,1661,39,93,021200
"Census Tract 221, Lorain County, Ohio",121,6,35,80,0,1272,46,25,448,316,171,191,75,1201,266,206,206,27,197,197,26,573,39,93,022100
"Census Tract 222, Lorain County, Ohio",241,24,78,131,8,1825,69,316,482,414,269,180,95,1440,275,227,215,0,543,363,58,741,39,93,022200
"Census Tract 224, Lorain County, Ohio",323,73,113,137,0,2638,72,653,825,612,169,232,75,1913,307,621,580,30,329,283,14,1031,39,93,022400
"Census Tract 225, Lorain County, Ohio",87,22,28,37,0,1232,14,75,309,409,146,164,115,1143,279,286,286,25,222,188,65,369,39,93,022500
"Census Tract 226.01, Lorain County, Ohio",167,0,35,80,52,1983,29,400,693,508,160,120,73,1554,193,579,359,17,373,291,15,569,39,93,022601
"Census Tract 228, Lorain County, Ohio",557,243,189,125,0,2337,110,332,662,784,234,94,121,1895,215,557,457,64,441,354,15,777,39,93,022800
"Census Tract 230, Lorain County, Ohio",603,225,315,63,0,2956,47,534,1508,612,193,38,24,2375,62,427,344,0,577,506,0,1297,39,93,023000
"Census Tract 231, Lorain County, Ohio",547,74,316,157,0,2149,195,400,861,313,187,93,100,1554,193,323,211,13,572,445,42,857,39,93,023100
"Census Tract 232, Lorain County, Ohio",405,193,106,100,6,1921,115,293,708,612,86,90,17,1513,107,413,367,36,554,482,6,673,39,93,023200
"Census Tract 233, Lorain County, Ohio",260,83,85,77,15,1432,231,227,366,289,201,113,5,974,118,239,186,39,389,247,7,633,39,93,023300
"Census Tract 234, Lorain County, Ohio",100,0,37,63,0,1492,57,140,502,450,168,131,44,1295,175,125,125,0,166,112,7,560,39,93,023400
"Census Tract 235, Lorain County, Ohio",170,38,105,25,2,1431,31,113,560,403,113,135,76,1287,211,189,189,63,258,240,33,456,39,93,023500
"Census Tract 236, Lorain County, Ohio",229,52,39,138,0,1772,202,229,529,582,118,76,36,1341,112,213,189,16,411,388,65,756,39,93,023600
"Census Tract 239, Lorain County, Ohio",124,28,58,38,0,1125,44,142,422,275,123,108,11,939,119,246,240,19,190,147,17,425,39,93,023900
"Census Tract 240, Lorain County, Ohio",130,23,25,72,10,1138,59,194,484,215,86,97,3,885,100,300,272,35,224,202,12,318,39,93,024000
"Census Tract 241, Lorain County, Ohio",207,69,55,52,31,2094,77,333,374,536,163,436,175,1684,611,373,373,267,303,176,31,757,39,93,024100
"Census Tract 242, Lorain County, Ohio",353,6,179,139,29,3151,112,188,1281,655,426,360,129,2851,489,840,782,40,482,460,132,1285,39,93,024200
"Census Tract 281, Lorain County, Ohio",251,22,120,93,16,3329,104,184,854,842,435,450,460,3041,910,466,402,74,417,356,123,1461,39,93,028100
"Census Tract 301.01, Lorain County, Ohio",66,0,31,15,20,2476,27,309,772,605,244,361,158,2140,519,287,226,28,147,131,16,1094,39,93,030101
"Census Tract 301.02, Lorain County, Ohio",185,57,89,20,19,2962,104,281,784,585,359,443,406,2577,849,118,118,33,526,491,165,1376,39,93,030102
"Census Tract 501, Lorain County, Ohio",352,11,105,200,36,2184,12,42,699,624,274,328,205,2130,533,266,266,85,249,249,65,1056,39,93,050100
"Census Tract 502, Lorain County, Ohio",296,94,72,118,12,2536,29,76,820,531,497,350,233,2431,583,314,296,104,451,445,102,897,39,93,050200
"Census Tract 503.01, Lorain County, Ohio",234,0,122,86,26,3564,29,105,570,963,360,1051,486,3430,1537,682,669,317,639,639,289,1446,39,93,050301
"Census Tract 503.02, Lorain County, Ohio",189,0,86,86,17,2411,37,130,989,594,137,332,192,2244,524,218,218,95,386,345,85,1127,39,93,050302
"Census Tract 504, Lorain County, Ohio",107,14,29,58,6,1703,2,82,705,439,203,206,66,1619,272,354,343,31,341,323,42,498,39,93,050400
"Census Tract 571, Lorain County, Ohio",586,55,268,257,6,2923,71,167,1159,546,385,411,184,2685,595,332,299,85,401,391,119,1258,39,93,057100
"Census Tract 601, Lorain County, Ohio",505,26,195,248,36,2452,19,189,660,503,165,476,440,2244,916,297,283,85,408,378,133,724,39,93,060100
"Census Tract 602, Lorain County, Ohio",2840,16,625,2039,160,1978,69,11,216,401,108,461,712,1898,1173,238,238,194,144,140,86,850,39,93,060200
"Census Tract 701.01, Lorain County, Ohio",332,17,118,171,26,3093,49,196,835,769,473,446,325,2848,771,207,207,45,462,404,90,1081,39,93,070101
"Census Tract 701.02, Lorain County, Ohio",591,29,131,370,61,3328,0,246,1070,848,274,620,270,3082,890,631,614,138,446,418,255,1385,39,93,070102
