NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 5, Ashtabula County, Ohio",360,90,217,53,0,2794,90,208,1203,517,320,383,73,2496,456,441,337,117,509,422,8,1065,39,7,000500
"Census Tract 6.01, Ashtabula County, Ohio",319,0,235,84,0,1697,91,305,633,386,162,92,28,1301,120,299,211,21,375,316,40,561,39,7,000601
"Census Tract 6.02, Ashtabula County, Ohio",227,0,77,99,51,2855,85,105,1126,544,294,563,138,2665,701,281,254,78,518,518,144,1093,39,7,000602
"Census Tract 6.03, Ashtabula County, Ohio",115,42,43,19,11,2859,36,186,1279,500,185,390,283,2637,673,360,315,61,387,335,119,1173,39,7,000603
"Census Tract 7.01, Ashtabula County, Ohio",315,58,248,9,0,2211,56,365,1283,304,122,52,29,1790,81,454,302,0,253,222,5,860,39,7,000701
"Census Tract 7.02, Ashtabula County, Ohio",196,5,97,43,51,1909,73,187,768,379,143,228,131,1649,359,256,221,73,210,204,92,903,39,7,000702
"Census Tract 7.03, Ashtabula County, Ohio",245,58,78,99,10,2258,101,425,1016,450,116,127,23,1732,150,400,268,16,453,391,80,810,39,7,000703
"Census Tract 7.04, Ashtabula County, Ohio",194,27,70,49,48,2620,180,318,967,558,270,166,161,2122,327,313,289,43,343,245,47,1221,39,7,000704
"Census Tract 8.01, Ashtabula County, Ohio",126,46,47,33,0,1220,42,102,652,221,73,83,47,1076,130,127,112,3,136,125,19,628,39,7,000801
"Census Tract 8.02, Ashtabula County, Ohio",511,20,365,113,13,3430,104,319,1535,754,129,505,84,3007,589,577,522,90,520,503,83,1592,39,7,000802
"Census Tract 9, Ashtabula County, Ohio",349,15,243,91,0,3352,124,259,1562,749,188,344,126,2969,470,579,572,165,419,393,83,1367,39,7,000900
"Census Tract 10.01, Ashtabula County, Ohio",427,88,143,190,6,3546,47,234,1374,845,380,392,274,3265,666,472,442,105,553,518,96,1723,39,7,001001
"Census Tract 10.02, Ashtabula County, Ohio",169,19,109,41,0,2811,31,207,1224,526,268,430,125,2573,555,283,258,49,363,307,76,1235,39,7,001002
"Census Tract 11.01, Ashtabula County, Ohio",102,13,60,22,7,1247,57,114,581,276,88,100,31,1076,131,173,159,34,182,166,11,536,39,7,001101
"Census Tract 11.02, Ashtabula County, Ohio",624,77,326,182,39,3793,65,257,1436,854,476,430,275,3471,705,619,567,212,519,479,99,1500,39,7,001102
"Census Tract 12.01, Ashtabula County, Ohio",154,0,21,133,0,2626,117,242,1227,559,154,202,125,2267,327,603,487,60,283,283,59,1064,39,7,001201
"Census Tract 12.02, Ashtabula County, Ohio",291,101,79,111,0,2659,72,133,993,966,150,208,137,2454,345,518,504,0,522,522,217,923,39,7,001202
"Census Tract 13.01, Ashtabula County, Ohio",222,83,70,42,27,2135,126,236,938,304,226,195,110,1773,305,474,416,86,334,287,58,704,39,7,001301
"Census Tract 13.03, Ashtabula County, Ohio",237,149,64,4,20,1503,101,56,672,336,168,96,74,1346,170,362,362,34,339,258,22,518,39,7,001303
"Census Tract 13.04, Ashtabula County, Ohio",66,20,19,27,0,1027,167,52,410,234,100,48,16,808,64,306,302,0,187,20,0,361,39,7,001304
"Census Tract 14.01, Ashtabula County, Ohio",341,104,137,74,26,2349,696,174,737,261,135,230,116,1479,346,542,191,8,511,247,42,914,39,7,001401
"Census Tract 14.02, Ashtabula County, Ohio",425,39,238,129,19,3299,374,441,1271,501,301,251,160,2484,411,629,549,135,491,381,22,1285,39,7,001402
"Census Tract 9900, Ashtabula County, Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,990000
"Census Tract 9726, Athens County, Ohio",274,20,56,183,15,2855,75,431,1260,620,280,88,101,2349,189,484,409,46,533,442,26,1172,39,9,972600
"Census Tract 9727, Athens County, Ohio",361,17,74,266,4,3003,174,197,1267,607,466,229,63,2632,292,554,497,71,514,477,31,1470,39,9,972700
"Census Tract 9728, Athens County, Ohio",1072,39,430,596,7,2770,112,424,1297,385,264,187,101,2234,288,673,523,138,555,545,30,1026,39,9,972800
"Census Tract 9729, Athens County, Ohio",698,13,247,177,261,4608,155,283,1011,861,228,893,1177,4170,2070,1406,1274,790,731,731,454,1332,39,9,972900
"Census Tract 9730, Athens County, Ohio",1055,57,227,709,62,2162,7,8,195,249,145,668,890,2147,1558,796,796,526,369,369,279,565,39,9,973000
"Census Tract 9731.01, Athens County, Ohio",3503,4,525,2900,74,835,0,221,143,91,31,181,168,614,349,394,392,213,110,72,38,304,39,9,973101
"Census Tract 9733, Athens County, Ohio",443,7,119,256,61,2496,0,53,175,307,194,686,1081,2443,1767,557,557,471,498,498,344,1019,39,9,973300
"Census Tract 9734, Athens County, Ohio",235,26,54,153,2,2513,54,181,708,415,214,425,516,2278,941,445,406,143,491,454,146,853,39,9,973400
"Census Tract 9735, Athens County, Ohio",219,31,80,83,25,2287,38,194,843,462,142,365,243,2055,608,257,229,79,431,385,91,1114,39,9,973500
"Census Tract 9736, Athens County, Ohio",112,5,74,33,0,3325,79,268,1690,588,258,252,190,2978,442,589,504,121,411,345,84,1408,39,9,973600
"Census Tract 9737, Athens County, Ohio",225,26,104,39,56,3155,59,198,1151,612,292,516,327,2898,843,610,596,164,716,674,222,1113,39,9,973700
"Census Tract 9738, Athens County, Ohio",366,44,163,155,4,3515,5,179,1636,645,389,310,351,3331,661,582,582,233,626,626,109,1440,39,9,973800
"Census Tract 9739.01, Athens County, Ohio",6086,0,1471,4540,75,168,0,0,7,98,33,16,14,168,30,135,135,30,22,22,0,11,39,9,973901
"Census Tract 9739.02, Athens County, Ohio",3248,67,594,2416,171,542,11,15,98,12,44,176,186,516,362,301,301,233,39,39,39,144,39,9,973902
"Census Tract 9732, Athens County, Ohio",1222,34,211,643,334,3017,42,125,576,607,219,424,1024,2850,1448,312,306,172,483,443,256,1142,39,9,973200
"Census Tract 401, Auglaize County, Ohio",415,51,84,224,56,2726,55,128,1262,481,465,183,152,2543,335,418,416,68,315,287,51,1269,39,11,040100
"Census Tract 402, Auglaize County, Ohio",318,74,93,151,0,3033,54,169,1434,566,315,302,193,2810,495,305,291,45,544,528,166,1098,39,11,040200
"Census Tract 403, Auglaize County, Ohio",366,42,208,116,0,2289,73,196,997,544,140,181,158,2020,339,701,698,65,303,262,24,860,39,11,040300
"Census Tract 404, Auglaize County, Ohio",486,43,248,164,31,4651,94,259,1951,1189,546,355,257,4298,612,663,652,174,825,805,196,1668,39,11,040400
"Census Tract 405, Auglaize County, Ohio",273,29,128,88,28,3645,13,160,1825,535,413,379,320,3472,699,389,389,72,763,763,255,1498,39,11,040500
"Census Tract 406, Auglaize County, Ohio",200,0,106,82,12,2371,73,145,829,522,203,407,192,2153,599,467,438,103,368,313,101,1108,39,11,040600
"Census Tract 409, Auglaize County, Ohio",271,98,83,68,22,2422,0,73,753,414,254,557,371,2349,928,301,295,157,539,539,258,1018,39,11,040900
"Census Tract 410, Auglaize County, Ohio",243,20,110,61,52,2371,14,123,814,243,330,508,339,2234,847,378,378,187,489,489,292,843,39,11,041000
"Census Tract 411, Auglaize County, Ohio",260,33,97,78,52,2775,39,138,1195,453,474,292,184,2598,476,521,504,80,373,346,99,1208,39,11,041100
"Census Tract 412.01, Auglaize County, Ohio",127,8,50,67,2,1286,18,97,586,264,157,97,67,1171,164,93,77,4,150,150,29,490,39,11,041201
"Census Tract 412.02, Auglaize County, Ohio",638,63,226,329,20,3519,39,170,1767,721,355,297,170,3310,467,934,934,133,586,546,66,1257,39,11,041202
"Census Tract 101, Belmont County, Ohio",366,31,146,174,15,3073,121,256,1431,608,336,225,96,2696,321,681,660,84,380,308,73,1239,39,13,010100
"Census Tract 102, Belmont County, Ohio",214,74,92,48,0,2623,38,254,1239,493,349,142,108,2331,250,546,416,57,424,415,59,908,39,13,010200
"Census Tract 103, Belmont County, Ohio",139,49,21,52,17,2696,17,138,1010,523,454,385,169,2541,554,282,230,100,458,453,83,1042,39,13,010300
"Census Tract 106, Belmont County, Ohio",362,27,136,189,10,2699,26,72,1464,375,527,160,75,2601,235,529,526,59,556,534,48,1075,39,13,010600
"Census Tract 107, Belmont County, Ohio",254,39,152,63,0,1616,8,120,709,317,210,190,62,1488,252,233,212,37,248,248,81,623,39,13,010700
"Census Tract 108.02, Belmont County, Ohio",202,13,41,114,34,1366,13,90,645,256,168,120,74,1263,194,233,217,53,170,161,43,616,39,13,010802
"Census Tract 109.01, Belmont County, Ohio",23,0,0,0,23,1222,35,72,363,213,219,170,150,1115,320,110,110,57,241,241,137,407,39,13,010901
"Census Tract 109.02, Belmont County, Ohio",324,35,67,179,43,3548,102,226,1473,781,421,336,209,3220,545,413,370,55,528,476,145,1628,39,13,010902
"Census Tract 110, Belmont County, Ohio",484,88,314,82,0,3215,45,312,1793,511,199,240,115,2858,355,412,370,83,391,334,83,1472,39,13,011000
"Census Tract 112, Belmont County, Ohio",217,10,128,71,8,2350,44,22,1201,321,359,260,143,2284,403,406,406,62,409,409,159,907,39,13,011200
"Census Tract 113, Belmont County, Ohio",257,72,60,106,19,3174,73,130,1347,490,374,561,199,2971,760,631,622,257,303,303,96,1344,39,13,011300
"Census Tract 114, Belmont County, Ohio",264,29,160,75,0,3191,105,215,1326,678,416,367,84,2871,451,638,604,117,374,354,81,1315,39,13,011400
"Census Tract 115, Belmont County, Ohio",176,79,72,25,0,1125,32,90,444,256,230,55,18,1003,73,107,102,11,116,116,3,517,39,13,011500
"Census Tract 116, Belmont County, Ohio",35,0,35,0,0,858,48,93,427,183,75,14,18,717,32,191,190,10,96,92,9,335,39,13,011600
"Census Tract 117, Belmont County, Ohio",155,4,148,3,0,736,14,59,300,298,28,19,18,663,37,288,259,7,71,66,11,241,39,13,011700
"Census Tract 119, Belmont County, Ohio",137,11,64,48,14,2227,6,149,1153,460,220,219,20,2072,239,359,359,18,636,636,76,628,39,13,011900
"Census Tract 120, Belmont County, Ohio",237,126,74,37,0,1495,65,60,589,425,207,88,61,1370,149,355,355,40,259,218,25,603,39,13,012000
"Census Tract 121, Belmont County, Ohio",74,24,33,5,12,1162,29,117,523,217,66,170,40,1016,210,131,124,32,169,169,106,388,39,13,012100
"Census Tract 122.01, Belmont County, Ohio",155,17,43,74,21,1126,37,38,369,132,283,166,101,1051,267,188,186,83,173,173,48,433,39,13,012201
"Census Tract 122.02, Belmont County, Ohio",286,70,148,68,0,4060,129,672,1791,639,361,268,200,3259,468,833,615,57,1290,1050,186,1346,39,13,012202
"Census Tract 123, Belmont County, Ohio",327,75,155,75,22,2855,37,120,855,593,313,457,480,2698,937,434,396,184,403,403,141,1031,39,13,012300
"Census Tract 124, Belmont County, Ohio",197,109,46,42,0,3422,38,110,1406,479,388,585,416,3274,1001,424,398,137,460,438,119,1155,39,13,012400
"Census Tract 9512.01, Brown County, Ohio",270,43,108,89,30,3055,47,274,1404,527,305,381,117,2734,498,418,378,69,550,510,131,1464,39,15,951201
"Census Tract 9512.02, Brown County, Ohio",475,9,268,198,0,3220,54,210,1738,556,259,326,77,2956,403,477,477,17,600,551,188,1425,39,15,951202
"Census Tract 9513.01, Brown County, Ohio",311,15,99,130,67,3425,134,357,1294,748,272,246,374,2934,620,788,718,76,603,500,261,1311,39,15,951301
"Census Tract 9513.02, Brown County, Ohio",164,0,40,124,0,1878,31,61,916,668,77,85,40,1786,125,202,202,0,321,321,70,888,39,15,951302
"Census Tract 9514, Brown County, Ohio",435,16,246,164,9,2872,51,233,1152,658,435,184,159,2588,343,548,506,33,529,491,82,1152,39,15,951400
"Census Tract 9515, Brown County, Ohio",365,0,88,277,0,3705,76,357,1476,548,353,599,296,3272,895,572,515,244,579,528,91,1484,39,15,951500
"Census Tract 9516, Brown County, Ohio",135,38,48,49,0,2788,139,277,1198,542,277,266,89,2372,355,375,281,147,322,305,26,1093,39,15,951600
"Census Tract 9517, Brown County, Ohio",235,48,103,84,0,1751,24,198,708,396,130,191,104,1529,295,272,264,40,362,323,52,678,39,15,951700
"Census Tract 9518, Brown County, Ohio",264,99,59,65,41,3534,157,267,1661,622,212,381,234,3110,615,461,419,23,520,418,197,1149,39,15,951800
"Census Tract 9519, Brown County, Ohio",486,15,346,125,0,4217,197,568,2166,707,371,108,100,3452,208,822,614,21,713,634,29,1734,39,15,951900
"Census Tract 111.20, Butler County, Ohio",734,66,218,403,47,4818,92,127,859,856,424,1766,694,4599,2460,990,863,503,828,778,416,2278,39,17,011120
"Census Tract 111.22, Butler County, Ohio",251,0,57,90,104,3478,26,169,572,554,201,991,965,3283,1956,881,866,502,967,967,652,1056,39,17,011122
"Census Tract 111.23, Butler County, Ohio",343,75,122,97,49,3057,110,265,866,691,346,595,184,2682,779,814,738,187,681,649,197,1071,39,17,011123
"Census Tract 111.25, Butler County, Ohio",356,19,94,199,44,2572,109,70,373,508,164,973,375,2393,1348,360,343,143,367,362,253,1200,39,17,011125
