NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_059E,S1501_C01_060E,S1501_C01_061E,S1501_C01_062E,S1501_C01_063E,S1501_C01_064E,state,county,tract
"Census Tract 9523, Columbiana County, Ohio",371,39,276,56,0,1451,139,134,652,281,94,94,57,1178,151,20920,20417,20592,20094,0,43750,39,029,952300
"Census Tract 9524, Columbiana County, Ohio",335,0,262,35,38,3139,155,361,1171,650,468,206,128,2623,334,35099,30562,31729,36057,57500,106932,39,029,952400
"Census Tract 9609, Coshocton County, Ohio",494,308,127,48,11,3370,736,275,1128,416,359,350,106,2359,456,32024,43375,27063,23148,52333,0,39,031,960900
"Census Tract 9610, Coshocton County, Ohio",360,182,92,44,42,2969,307,222,1104,564,333,268,171,2440,439,36773,45324,30800,32368,66333,76401,39,031,961000
"Census Tract 9611, Coshocton County, Ohio",320,78,76,158,8,3265,275,245,1368,508,352,344,173,2745,517,32470,32128,27083,25507,37254,49000,39,031,961100
"Census Tract 9612, Coshocton County, Ohio",112,22,67,23,0,2392,46,161,1324,349,216,223,73,2185,296,27903,25441,26207,36060,0,74063,39,031,961200
"Census Tract 9613, Coshocton County, Ohio",319,34,160,99,26,2425,39,287,1062,455,138,218,226,2099,444,30689,20205,28900,21351,48750,47857,39,031,961300
"Census Tract 9614, Coshocton County, Ohio",172,11,128,23,10,2056,70,206,1273,333,68,76,30,1780,106,23167,35294,22109,0,0,0,39,031,961400
"Census Tract 9615, Coshocton County, Ohio",268,47,130,83,8,1654,46,122,762,336,206,167,15,1486,182,32310,16780,31000,31161,46705,0,39,031,961500
"Census Tract 9616, Coshocton County, Ohio",135,54,57,24,0,1854,28,136,702,368,162,257,201,1690,458,43275,43298,33125,33409,44674,60917,39,031,961600
"Census Tract 9617, Coshocton County, Ohio",169,10,81,73,5,2050,21,75,791,494,210,282,177,1954,459,36298,2499,37574,32237,42321,48750,39,031,961700
"Census Tract 9618, Coshocton County, Ohio",237,28,177,27,5,3372,78,287,1625,545,412,298,127,3007,425,31163,26639,26768,30713,59500,64259,39,031,961800
"Census Tract 9741, Crawford County, Ohio",280,24,137,108,11,2382,49,137,1185,426,278,214,93,2196,307,34571,33409,31140,34545,39531,66792,39,033,974100
"Census Tract 9742, Crawford County, Ohio",317,26,209,75,7,2656,34,80,1381,492,265,255,149,2542,404,36051,0,32488,35913,46500,57031,39,033,974200
"Census Tract 9743, Crawford County, Ohio",110,0,72,28,10,2186,48,59,898,369,288,325,199,2079,524,42589,0,42245,32788,48958,37011,39,033,974300
"Census Tract 9744, Crawford County, Ohio",185,57,76,52,0,2205,50,242,1152,338,268,59,96,1913,155,29186,0,23690,28388,25724,53009,39,033,974400
"Census Tract 9745, Crawford County, Ohio",285,71,72,123,19,2730,112,149,1348,662,233,143,83,2469,226,32037,29266,31071,31964,36528,50278,39,033,974500
"Census Tract 9746, Crawford County, Ohio",172,87,67,18,0,2081,72,200,1115,272,167,236,19,1809,255,32891,0,35139,24318,50027,0,39,033,974600
"Census Tract 9747, Crawford County, Ohio",216,30,122,64,0,3014,74,130,1176,434,374,423,403,2810,826,41012,24091,30871,40417,49848,53310,39,033,974700
"Census Tract 9748, Crawford County, Ohio",188,51,71,59,7,1512,45,159,689,233,139,162,85,1308,247,36781,0,32500,41211,52721,31750,39,033,974800
"Census Tract 9749, Crawford County, Ohio",301,41,87,161,12,1983,36,211,886,242,354,232,22,1736,254,33106,23640,33438,39183,0,0,39,033,974900
"Census Tract 9750, Crawford County, Ohio",381,53,193,114,21,2530,82,107,1026,566,232,321,196,2341,517,34304,24821,31214,26360,51607,52500,39,033,975000
"Census Tract 9751, Crawford County, Ohio",319,43,153,123,0,1864,62,82,777,278,392,212,61,1720,273,32716,0,31702,40547,23015,54583,39,033,975100
"Census Tract 9752, Crawford County, Ohio",111,40,38,30,3,1898,48,154,852,331,161,250,102,1696,352,32111,42604,27938,27969,54107,51304,39,033,975200
"Census Tract 9753, Crawford County, Ohio",279,32,142,47,58,2339,119,265,1086,634,71,94,70,1955,164,25915,35930,19425,30882,30096,0,39,033,975300
"Census Tract 1011.01, Cuyahoga County, Ohio",260,63,89,85,23,1541,93,209,487,384,144,155,69,1239,224,26607,22083,25795,24615,0,0,39,035,101101
"Census Tract 1011.02, Cuyahoga County, Ohio",399,64,143,17,175,3642,32,89,741,520,396,888,976,3521,1864,47644,0,27547,26611,55845,53400,39,035,101102
"Census Tract 1012.01, Cuyahoga County, Ohio",239,27,134,53,25,2155,166,165,458,617,140,414,195,1824,609,37569,0,0,25430,61964,64044,39,035,101201
"Census Tract 1013, Cuyahoga County, Ohio",138,0,36,42,60,1393,86,92,503,342,56,200,114,1215,314,31408,0,25391,21734,52295,37321,39,035,101300
"Census Tract 1014, Cuyahoga County, Ohio",169,20,64,45,40,1140,73,228,327,350,67,83,12,839,95,23438,19836,32813,15588,44167,0,39,035,101400
"Census Tract 1015.01, Cuyahoga County, Ohio",103,30,37,36,0,1439,76,286,498,336,83,115,45,1077,160,25026,16364,22621,32750,60750,0,39,035,101501
"Census Tract 1016.03, Cuyahoga County, Ohio",339,43,194,73,29,1647,97,245,581,429,76,178,41,1305,219,24186,15571,30222,20500,39048,0,39,035,101603
"Census Tract 1017, Cuyahoga County, Ohio",570,60,62,438,10,1403,54,234,560,318,166,45,26,1115,71,22992,21806,18387,32222,0,0,39,035,101700
"Census Tract 1018, Cuyahoga County, Ohio",331,212,58,61,0,1660,113,406,398,308,89,181,165,1141,346,27344,0,0,20990,0,100250,39,035,101800
"Census Tract 1019.01, Cuyahoga County, Ohio",101,30,15,43,13,1023,111,181,351,143,50,80,107,731,187,25434,20360,15208,29224,50208,58021,39,035,101901
"Census Tract 1021.01, Cuyahoga County, Ohio",333,61,84,158,30,2258,211,325,893,488,168,155,18,1722,173,29516,15000,27450,34298,47969,0,39,035,102101
"Census Tract 1021.02, Cuyahoga County, Ohio",266,67,120,67,12,1738,134,180,541,456,184,177,66,1424,243,28284,29556,31667,26185,24432,0,39,035,102102
"Census Tract 1022, Cuyahoga County, Ohio",215,14,177,24,0,2047,176,215,549,472,166,319,150,1656,469,40069,24636,30625,21572,50066,64792,39,035,102200
"Census Tract 1023, Cuyahoga County, Ohio",242,30,120,62,30,1109,96,256,364,220,73,65,35,757,100,25956,16745,27109,28182,34615,41500,39,035,102300
"Census Tract 1024.01, Cuyahoga County, Ohio",241,100,77,45,19,1431,378,146,522,171,103,106,5,907,111,28545,0,31050,35625,28964,0,39,035,102401
"Census Tract 1024.02, Cuyahoga County, Ohio",374,54,184,136,0,2059,212,297,634,549,169,189,9,1550,198,22946,22857,23418,13962,65107,0,39,035,102402
"Census Tract 1027, Cuyahoga County, Ohio",265,3,227,28,7,2400,204,217,844,545,139,382,69,1979,451,24419,18702,12335,27222,250001,0,39,035,102700
"Census Tract 1028, Cuyahoga County, Ohio",227,68,87,56,16,1093,117,210,406,314,0,43,3,766,46,22066,22014,28625,15208,0,0,39,035,102800
"Census Tract 1029, Cuyahoga County, Ohio",145,39,80,26,0,1224,94,245,456,270,56,42,61,885,103,30458,27206,23708,32237,0,60302,39,035,102900
"Census Tract 1033, Cuyahoga County, Ohio",626,87,59,107,373,1242,6,172,219,275,37,306,227,1064,533,53476,13237,18944,0,68032,98750,39,035,103300
"Census Tract 1035, Cuyahoga County, Ohio",76,0,14,31,31,1102,24,84,116,206,68,346,258,994,604,42212,18472,16250,21111,59348,70500,39,035,103500
"Census Tract 73.06, Franklin County, Ohio",171,15,12,112,32,2926,27,0,360,299,198,1242,800,2899,2042,90680,0,0,54250,115500,79455,39,049,007306
"Census Tract 73.94, Franklin County, Ohio",65,21,30,14,0,1845,7,40,311,274,121,612,480,1798,1092,90417,60833,0,0,99342,137059,39,049,007394
"Census Tract 73.97, Franklin County, Ohio",171,88,10,73,0,2146,0,60,465,384,175,762,300,2086,1062,38375,0,16656,52702,27467,71500,39,049,007397
"Census Tract 73.98, Franklin County, Ohio",405,148,101,156,0,5094,932,132,732,971,397,1498,432,4030,1930,61797,0,42750,49369,76711,74375,39,049,007398
"Census Tract 74.24, Franklin County, Ohio",244,58,67,119,0,4185,140,237,1432,908,420,814,234,3808,1048,39644,0,32784,40752,34390,98646,39,049,007424
"Census Tract 74.25, Franklin County, Ohio",78,0,43,35,0,2034,21,148,606,517,196,316,230,1865,546,38931,0,31349,31745,70750,72663,39,049,007425
"Census Tract 74.26, Franklin County, Ohio",295,22,102,123,48,2645,0,43,499,481,292,872,458,2602,1330,55543,0,33125,51692,56914,77100,39,049,007426
"Census Tract 74.27, Franklin County, Ohio",539,62,138,132,207,4019,8,48,579,897,537,1221,729,3963,1950,42446,0,30530,35286,61484,73881,39,049,007427
"Census Tract 74.92, Franklin County, Ohio",342,70,120,82,70,4181,84,51,620,460,248,1639,1079,4046,2718,59462,0,26435,29167,59919,92000,39,049,007492
"Census Tract 74.94, Franklin County, Ohio",355,35,60,186,74,2749,119,50,624,465,289,856,346,2580,1202,51132,0,33625,38068,65804,81361,39,049,007494
"Census Tract 75.11, Franklin County, Ohio",152,0,116,36,0,1182,102,167,515,186,55,148,9,913,157,23625,0,19044,29015,0,0,39,049,007511
"Census Tract 75.12, Franklin County, Ohio",575,303,159,107,6,2832,95,360,1270,745,152,178,32,2377,210,32028,0,37634,24097,45625,0,39,049,007512
"Census Tract 75.20, Franklin County, Ohio",387,67,178,142,0,1615,64,197,681,433,162,78,0,1354,78,18967,20294,11540,30521,30417,0,39,049,007520
"Census Tract 75.31, Franklin County, Ohio",469,55,208,188,18,1733,279,137,558,311,81,301,66,1317,367,25750,15781,28228,35357,0,0,39,049,007531
"Census Tract 75.32, Franklin County, Ohio",182,14,111,57,0,1743,240,103,637,307,196,215,45,1400,260,29940,28333,26917,27383,31786,81083,39,049,007532
"Census Tract 75.33, Franklin County, Ohio",197,85,57,42,13,1285,229,39,382,373,108,121,33,1017,154,31540,11563,25417,33141,40109,51875,39,049,007533
"Census Tract 75.34, Franklin County, Ohio",412,74,64,165,109,2598,475,304,1058,441,164,126,30,1819,156,22214,17882,24881,27917,0,0,39,049,007534
"Census Tract 75.50, Franklin County, Ohio",672,4,87,546,35,1848,55,115,303,552,233,311,279,1678,590,34056,0,35135,27026,51923,0,39,049,007550
"Census Tract 75.52, Franklin County, Ohio",313,33,53,227,0,2397,352,97,637,540,257,286,228,1948,514,27158,14308,22589,33275,39286,60536,39,049,007552
"Census Tract 75.53, Franklin County, Ohio",817,57,179,551,30,3517,73,230,1158,620,172,992,272,3214,1264,33211,0,25430,30947,60767,90521,39,049,007553
"Census Tract 77.10, Franklin County, Ohio",257,73,108,76,0,3219,127,383,1435,833,156,170,115,2709,285,26345,14770,22156,29871,0,37054,39,049,007710
"Census Tract 77.21, Franklin County, Ohio",618,258,118,228,14,3737,1043,334,1096,670,111,290,193,2360,483,27375,27041,27780,17297,0,37357,39,049,007721
"Census Tract 77.22, Franklin County, Ohio",250,24,142,84,0,3019,232,245,855,927,285,416,59,2542,475,24961,18114,23712,25891,34250,27222,39,049,007722
"Census Tract 77.30, Franklin County, Ohio",109,1,89,19,0,2277,40,141,686,571,132,524,183,2096,707,34623,0,36333,31786,36940,44125,39,049,007730
"Census Tract 77.40, Franklin County, Ohio",84,0,61,23,0,1323,22,166,252,292,108,327,156,1135,483,50280,0,24583,39750,63261,68984,39,049,007740
"Census Tract 78.11, Franklin County, Ohio",206,55,70,19,62,3184,63,15,244,373,188,1314,987,3106,2301,47976,12898,51014,42390,54079,43241,39,049,007811
"Census Tract 78.12, Franklin County, Ohio",1115,9,236,479,391,3338,117,38,499,644,260,1269,511,3183,1780,38557,18768,14938,32807,49350,38974,39,049,007812
"Census Tract 78.20, Franklin County, Ohio",921,66,120,349,386,1998,253,123,210,324,50,522,516,1622,1038,29494,0,0,33564,0,28445,39,049,007820
"Census Tract 78.30, Franklin County, Ohio",722,48,79,200,395,2376,20,35,41,260,151,1098,771,2321,1869,46240,0,0,41394,44430,47958,39,049,007830
"Census Tract 79.22, Franklin County, Ohio",696,80,159,279,178,4520,23,47,592,772,262,1465,1359,4450,2824,56883,0,43688,51389,67296,62941,39,049,007922
"Census Tract 79.31, Franklin County, Ohio",248,16,97,70,65,3485,63,163,1113,739,247,910,250,3259,1160,42071,32574,31326,40177,68958,65700,39,049,007931
"Census Tract 79.41, Franklin County, Ohio",123,0,40,49,34,2125,0,70,293,264,179,946,373,2055,1319,59602,0,22563,61250,65673,60441,39,049,007941
"Census Tract 79.55, Franklin County, Ohio",189,18,20,100,51,1963,0,0,490,543,131,503,296,1963,799,53807,0,49708,40852,64345,62900,39,049,007955
"Census Tract 79.56, Franklin County, Ohio",414,47,135,189,43,2860,0,65,577,453,312,973,480,2795,1453,56290,41648,46127,42428,70646,90227,39,049,007956
"Census Tract 79.57, Franklin County, Ohio",170,8,95,28,39,4138,75,75,784,846,537,911,910,3988,1821,52682,0,49049,41657,61250,73451,39,049,007957
"Census Tract 79.58, Franklin County, Ohio",157,0,27,84,46,2583,26,83,284,271,84,910,925,2474,1835,82021,0,50588,72143,66250,109464,39,049,007958
"Census Tract 79.59, Franklin County, Ohio",413,24,40,118,231,1193,73,0,290,219,144,213,254,1120,467,46689,0,41625,48838,31292,0,39,049,007959
"Census Tract 73.05, Franklin County, Ohio",224,2,42,75,105,3777,19,66,795,781,125,1221,770,3692,1991,58880,0,36607,36286,75714,74382,39,049,007305
"Census Tract 79.60, Franklin County, Ohio",219,47,86,82,4,3208,95,118,600,518,371,1026,480,2995,1506,48125,14625,35302,42361,53892,63250,39,049,007960
"Census Tract 79.61, Franklin County, Ohio",213,14,77,34,88,2890,89,88,468,332,129,1119,665,2713,1784,80724,0,0,0,81678,97500,39,049,007961
"Census Tract 79.62, Franklin County, Ohio",611,103,53,248,207,3687,111,47,648,634,374,1243,630,3529,1873,43585,38873,35275,45991,49529,0,39,049,007962
"Census Tract 79.63, Franklin County, Ohio",273,23,71,115,64,2508,0,253,350,332,94,1014,465,2255,1479,68605,0,29871,67722,70168,72411,39,049,007963
"Census Tract 79.64, Franklin County, Ohio",504,38,69,129,268,4349,0,47,577,765,254,1967,739,4302,2706,59233,0,40568,42500,58160,85885,39,049,007964
"Census Tract 79.65, Franklin County, Ohio",551,0,32,387,132,2283,44,90,445,476,185,612,431,2149,1043,48039,0,53297,42132,63419,38417,39,049,007965
"Census Tract 79.66, Franklin County, Ohio",280,0,71,173,36,2950,0,53,641,841,364,812,239,2897,1051,48797,0,31792,41919,57895,90530,39,049,007966
"Census Tract 80.01, Franklin County, Ohio",158,38,49,43,28,1566,0,38,236,306,121,427,438,1528,865,69423,0,37240,50288,68750,89542,39,049,008001
"Census Tract 222, Lorain County, Ohio",241,24,78,131,8,1825,69,316,482,414,269,180,95,1440,275,30739,21628,36371,28426,49330,0,39,093,022200
"Census Tract 224, Lorain County, Ohio",323,73,113,137,0,2638,72,653,825,612,169,232,75,1913,307,24605,20586,30456,24145,0,76250,39,093,022400
"Census Tract 225, Lorain County, Ohio",87,22,28,37,0,1232,14,75,309,409,146,164,115,1143,279,40625,0,31023,51250,50313,127875,39,093,022500
"Census Tract 226.01, Lorain County, Ohio",167,0,35,80,52,1983,29,400,693,508,160,120,73,1554,193,34199,45102,24469,32609,45972,70417,39,093,022601
"Census Tract 228, Lorain County, Ohio",557,243,189,125,0,2337,110,332,662,784,234,94,121,1895,215,23131,0,19926,23869,0,70000,39,093,022800
"Census Tract 230, Lorain County, Ohio",603,225,315,63,0,2956,47,534,1508,612,193,38,24,2375,62,28362,0,28125,29219,0,0,39,093,023000
"Census Tract 231, Lorain County, Ohio",547,74,316,157,0,2149,195,400,861,313,187,93,100,1554,193,30270,0,26875,40477,40524,0,39,093,023100
"Census Tract 232, Lorain County, Ohio",405,193,106,100,6,1921,115,293,708,612,86,90,17,1513,107,25060,23563,26932,25753,0,0,39,093,023200
"Census Tract 233, Lorain County, Ohio",260,83,85,77,15,1432,231,227,366,289,201,113,5,974,118,30246,0,30670,24091,26250,0,39,093,023300
"Census Tract 234, Lorain County, Ohio",100,0,37,63,0,1492,57,140,502,450,168,131,44,1295,175,37353,15380,27596,38460,43333,79554,39,093,023400
"Census Tract 235, Lorain County, Ohio",170,38,105,25,2,1431,31,113,560,403,113,135,76,1287,211,33644,34643,22292,34250,0,75694,39,093,023500
"Census Tract 236, Lorain County, Ohio",229,52,39,138,0,1772,202,229,529,582,118,76,36,1341,112,35978,27989,37833,35188,0,0,39,093,023600
"Census Tract 239, Lorain County, Ohio",124,28,58,38,0,1125,44,142,422,275,123,108,11,939,119,31058,21324,33021,33345,0,0,39,093,023900
"Census Tract 240, Lorain County, Ohio",130,23,25,72,10,1138,59,194,484,215,86,97,3,885,100,26188,20625,25577,30714,28438,0,39,093,024000
"Census Tract 241, Lorain County, Ohio",207,69,55,52,31,2094,77,333,374,536,163,436,175,1684,611,38879,11719,36250,27500,53289,68750,39,093,024100
"Census Tract 242, Lorain County, Ohio",353,6,179,139,29,3151,112,188,1281,655,426,360,129,2851,489,35238,27273,37802,33327,60028,63670,39,093,024200
"Census Tract 281, Lorain County, Ohio",251,22,120,93,16,3329,104,184,854,842,435,450,460,3041,910,50665,0,35000,42798,83750,71667,39,093,028100
"Census Tract 301.01, Lorain County, Ohio",66,0,31,15,20,2476,27,309,772,605,244,361,158,2140,519,34942,32734,27071,0,55263,66754,39,093,030101
"Census Tract 301.02, Lorain County, Ohio",185,57,89,20,19,2962,104,281,784,585,359,443,406,2577,849,35192,0,38125,33858,0,82685,39,093,030102
"Census Tract 501, Lorain County, Ohio",352,11,105,200,36,2184,12,42,699,624,274,328,205,2130,533,44773,0,36285,40341,80278,65703,39,093,050100
"Census Tract 502, Lorain County, Ohio",296,94,72,118,12,2536,29,76,820,531,497,350,233,2431,583,45817,19375,34821,47265,48125,61989,39,093,050200
"Census Tract 503.01, Lorain County, Ohio",234,0,122,86,26,3564,29,105,570,963,360,1051,486,3430,1537,55417,0,26739,36819,71640,75425,39,093,050301
"Census Tract 503.02, Lorain County, Ohio",189,0,86,86,17,2411,37,130,989,594,137,332,192,2244,524,52599,0,36940,61146,75560,53942,39,093,050302
"Census Tract 504, Lorain County, Ohio",107,14,29,58,6,1703,2,82,705,439,203,206,66,1619,272,36750,23889,14688,41296,54911,44922,39,093,050400
"Census Tract 571, Lorain County, Ohio",586,55,268,257,6,2923,71,167,1159,546,385,411,184,2685,595,34718,15903,31436,35861,45469,57039,39,093,057100
"Census Tract 601, Lorain County, Ohio",505,26,195,248,36,2452,19,189,660,503,165,476,440,2244,916,26797,0,24189,14366,39612,43875,39,093,060100
"Census Tract 602, Lorain County, Ohio",2840,16,625,2039,160,1978,69,11,216,401,108,461,712,1898,1173,43894,0,37500,37361,45625,64886,39,093,060200
"Census Tract 701.01, Lorain County, Ohio",332,17,118,171,26,3093,49,196,835,769,473,446,325,2848,771,41882,31250,41023,40227,56071,62411,39,093,070101
"Census Tract 701.02, Lorain County, Ohio",591,29,131,370,61,3328,0,246,1070,848,274,620,270,3082,890,40276,0,33424,31250,50294,80298,39,093,070102
"Census Tract 702, Lorain County, Ohio",141,4,46,88,3,1431,52,120,652,250,178,115,64,1259,179,34787,28036,24821,40391,75417,68125,39,093,070200
"Census Tract 703, Lorain County, Ohio",217,33,131,53,0,2319,12,172,835,625,313,311,51,2135,362,29333,23750,26474,26964,40700,82708,39,093,070300
"Census Tract 704, Lorain County, Ohio",477,17,216,233,11,3331,45,527,1178,813,448,252,68,2759,320,34988,35662,33537,32156,51250,87981,39,093,070400
"Census Tract 705, Lorain County, Ohio",128,77,32,13,6,2056,127,365,743,524,169,83,45,1564,128,23310,23894,18294,27768,43424,0,39,093,070500
"Census Tract 706, Lorain County, Ohio",479,129,79,207,64,3812,8,332,1180,878,957,309,148,3472,457,34281,15951,45000,34025,46447,0,39,093,070600
"Census Tract 707, Lorain County, Ohio",263,45,83,131,4,1408,27,126,634,362,167,38,54,1255,92,30698,40465,22500,37222,45536,0,39,093,070700
"Census Tract 709.01, Lorain County, Ohio",205,69,98,38,0,976,53,318,324,204,65,12,0,605,12,26307,0,28027,0,0,0,39,093,070901
"Census Tract 709.02, Lorain County, Ohio",538,61,147,313,17,2469,50,158,735,892,322,175,137,2261,312,30956,47143,32198,31190,26850,27458,39,093,070902
"Census Tract 711, Lorain County, Ohio",422,57,59,262,44,3180,64,188,1131,840,300,412,245,2928,657,38086,32500,32583,37368,49309,80278,39,093,071100
"Census Tract 712.01, Lorain County, Ohio",467,130,223,99,15,2674,87,381,1143,641,296,94,32,2206,126,29024,19441,29943,30777,26953,0,39,093,071201
"Census Tract 712.02, Lorain County, Ohio",226,7,94,24,101,2964,16,209,691,829,505,496,218,2739,714,42356,0,38241,37988,51250,67768,39,093,071202
"Census Tract 713, Lorain County, Ohio",391,62,164,141,24,3054,56,326,1077,701,268,387,239,2672,626,44193,0,42929,37974,46912,83654,39,093,071300
"Census Tract 714, Lorain County, Ohio",338,179,93,66,0,2064,56,455,643,595,149,95,71,1553,166,24797,21230,19401,32794,25076,0,39,093,071400
"Census Tract 715, Lorain County, Ohio",305,53,93,152,7,1625,146,216,645,243,242,82,51,1263,133,32483,0,22500,40227,44107,66131,39,093,071500
"Census Tract 771, Lorain County, Ohio",226,37,36,108,45,2641,24,119,797,596,382,533,190,2498,723,48318,39886,44196,48056,47296,57260,39,093,077100
"Census Tract 801.01, Lorain County, Ohio",171,32,56,34,49,1772,37,96,524,559,156,269,131,1639,400,41676,36016,38672,40455,54519,60833,39,093,080101
"Census Tract 801.03, Lorain County, Ohio",346,7,64,247,28,3361,159,190,877,789,547,512,287,3012,799,37093,21807,24732,38105,60991,65962,39,093,080103
"Census Tract 801.04, Lorain County, Ohio",179,18,27,99,35,2500,33,243,1015,537,250,327,95,2224,422,38240,45114,31367,49744,0,0,39,093,080104
"Census Tract 22, Richland County, Ohio",444,39,170,204,31,4960,91,351,1432,928,691,1009,458,4518,1467,43950,36518,34654,40679,54605,63024,39,139,002200
"Census Tract 23, Richland County, Ohio",353,61,29,263,0,4591,81,261,1787,731,427,814,490,4249,1304,41608,73064,31673,41654,52421,78317,39,139,002300
"Census Tract 24, Richland County, Ohio",357,34,113,47,163,4106,63,176,1377,1093,404,544,449,3867,993,40037,28036,30116,40534,46635,65417,39,139,002400
"Census Tract 25, Richland County, Ohio",188,29,70,67,22,3186,64,262,1485,603,371,213,188,2860,401,33836,28600,26498,36941,60417,63621,39,139,002500
"Census Tract 26, Richland County, Ohio",511,85,114,295,17,2934,130,272,1358,584,218,288,84,2532,372,34583,32719,32607,42127,0,0,39,139,002600
"Census Tract 27, Richland County, Ohio",293,43,104,124,22,3719,21,257,1710,657,314,334,426,3441,760,37255,28077,27069,47048,54038,34732,39,139,002700
"Census Tract 28, Richland County, Ohio",305,97,98,108,2,2177,210,120,1046,346,172,227,56,1847,283,32934,17231,31908,42059,34000,49688,39,139,002800
"Census Tract 29, Richland County, Ohio",331,196,78,57,0,2565,334,176,1098,447,147,179,184,2055,363,40054,35909,31357,41111,52109,62875,39,139,002900
"Census Tract 30.01, Richland County, Ohio",443,114,111,218,0,3700,261,163,1395,703,348,651,179,3276,830,37917,41750,33882,35550,47077,50208,39,139,003001
"Census Tract 30.02, Richland County, Ohio",284,99,127,48,10,2335,80,191,1111,382,205,289,77,2064,366,38167,38500,33071,43409,44457,54500,39,139,003002
"Census Tract 31, Richland County, Ohio",172,47,86,32,7,1578,105,209,709,329,136,82,8,1264,90,25160,0,30509,21071,26875,0,39,139,003100
"Census Tract 9555, Ross County, Ohio",341,57,185,94,5,4321,108,299,1989,933,297,495,200,3914,695,43889,31324,33487,51102,56563,42467,39,141,955500
"Census Tract 9556.03, Ross County, Ohio",455,134,121,191,9,2829,151,137,1426,479,228,334,74,2541,408,40854,23816,31910,42364,64375,56375,39,141,955603
"Census Tract 9556.04, Ross County, Ohio",817,383,308,126,0,5556,192,1103,2316,1128,370,333,114,4261,447,37340,4410,31563,36346,66705,68333,39,141,955604
"Census Tract 9557, Ross County, Ohio",482,38,198,246,0,3466,165,253,1585,815,155,301,192,3048,493,35688,26542,34219,32411,58431,49261,39,141,955700
"Census Tract 9558.01, Ross County, Ohio",319,63,144,99,13,2804,28,85,1342,506,344,275,224,2691,499,51859,21346,34809,50139,63382,70399,39,141,955801
"Census Tract 9558.02, Ross County, Ohio",235,0,144,83,8,2395,12,88,1158,518,246,260,113,2295,373,42091,0,40408,41789,48621,72120,39,141,955802
"Census Tract 9559, Ross County, Ohio",404,151,172,81,0,3342,6,160,1202,815,240,336,583,3176,919,42458,20991,40288,35380,47266,73676,39,141,955900
"Census Tract 9560, Ross County, Ohio",271,34,237,0,0,4248,22,232,1331,974,458,737,494,3994,1231,29537,62656,19717,27033,46184,87625,39,141,956000
"Census Tract 9561, Ross County, Ohio",225,42,51,93,39,2403,23,167,756,538,302,427,190,2213,617,45313,0,41579,42039,54737,130144,39,141,956100
"Census Tract 9562, Ross County, Ohio",146,0,74,63,9,1482,35,34,488,497,111,247,70,1413,317,42734,0,43542,54879,37672,59583,39,141,956200
"Census Tract 9563, Ross County, Ohio",355,76,173,63,43,2350,44,187,1120,489,142,210,158,2119,368,33646,30577,24571,35375,35121,36915,39,141,956300
"Census Tract 9564, Ross County, Ohio",303,38,133,60,72,2075,96,91,1054,507,129,121,77,1888,198,32490,0,25347,42375,41226,0,39,141,956400
"Census Tract 9565, Ross County, Ohio",235,8,178,38,11,2373,49,353,1237,372,232,91,39,1971,130,24750,2499,33257,22273,49125,0,39,141,956500
"Census Tract 9566, Ross County, Ohio",292,81,27,115,69,3611,96,290,1674,671,389,331,160,3225,491,35162,29292,36412,34901,39500,22111,39,141,956600
"Census Tract 9567, Ross County, Ohio",227,0,174,53,0,3730,76,259,1995,540,150,455,255,3395,710,40188,0,41014,38393,39660,80069,39,141,956700
"Census Tract 9568, Ross County, Ohio",525,124,273,110,18,4435,126,479,2081,748,427,360,214,3830,574,34861,23477,31060,33025,60050,73600,39,141,956800
"Census Tract 9569, Ross County, Ohio",347,52,152,116,27,3086,146,473,1461,451,216,237,102,2467,339,32070,30560,30560,24732,44100,90800,39,141,956900
"Census Tract 9608, Sandusky County, Ohio",319,21,138,144,16,2484,36,187,993,504,373,223,168,2261,391,42984,43056,36435,38150,63375,47069,39,143,960800
"Census Tract 9609, Sandusky County, Ohio",236,75,77,68,16,2182,43,96,811,575,173,324,160,2043,484,45889,37930,41395,40833,58825,70417,39,143,960900
"Census Tract 9610, Sandusky County, Ohio",205,48,90,67,0,2833,23,122,1174,649,277,324,264,2688,588,48899,2499,45734,41678,53713,91071,39,143,961000
"Census Tract 9611, Sandusky County, Ohio",234,17,106,88,23,2857,80,212,1213,671,216,324,141,2565,465,40045,15691,36000,43021,41667,62356,39,143,961100
"Census Tract 9612, Sandusky County, Ohio",273,3,71,148,51,2774,22,198,1024,591,371,366,202,2554,568,41519,21683,32207,40982,51739,65781,39,143,961200
"Census Tract 9613, Sandusky County, Ohio",257,33,157,59,8,3139,54,172,1151,700,336,455,271,2913,726,35731,31159,35781,34150,47446,35833,39,143,961300
"Census Tract 9614, Sandusky County, Ohio",236,109,87,40,0,1712,0,163,612,418,179,213,127,1549,340,27548,0,20402,30380,49792,91750,39,143,961400
"Census Tract 9615, Sandusky County, Ohio",342,18,149,175,0,2743,75,106,1191,727,341,228,75,2562,303,35283,37545,32275,35457,54028,26741,39,143,961500
