NAME,B01003_001E,B11005_001E,B11005_002E,B11005_012E,B11005_017E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
"Census Tract 5089, Summit County, Ohio",4121.0,1042.0,77.0,99.0,866.0,736.0,3277.0,1900.0,517.0,617.0,167.0,72.0,4.0,0.0,0.0,39,153,508900
"Census Tract 5090, Summit County, Ohio",1733.0,691.0,233.0,128.0,330.0,237.0,1099.0,264.0,177.0,325.0,141.0,70.0,53.0,64.0,5.0,39,153,509000
"Census Tract 5101, Summit County, Ohio",2761.0,1070.0,291.0,394.0,385.0,225.0,2039.0,581.0,286.0,531.0,304.0,145.0,169.0,4.0,19.0,39,153,510100
"Census Tract 5102, Summit County, Ohio",4030.0,1597.0,542.0,484.0,571.0,293.0,2911.0,450.0,223.0,727.0,542.0,566.0,225.0,76.0,102.0,39,153,510200
"Census Tract 5103.01, Summit County, Ohio",5910.0,2551.0,728.0,555.0,1268.0,344.0,4146.0,943.0,802.0,806.0,850.0,272.0,303.0,93.0,77.0,39,153,510301
"Census Tract 5103.02, Summit County, Ohio",5528.0,2584.0,662.0,967.0,955.0,689.0,4047.0,463.0,291.0,674.0,578.0,680.0,476.0,159.0,726.0,39,153,510302
"Census Tract 5104, Summit County, Ohio",3978.0,1726.0,372.0,655.0,699.0,399.0,2887.0,345.0,341.0,591.0,552.0,506.0,263.0,68.0,221.0,39,153,510400
"Census Tract 5105, Summit County, Ohio",4172.0,1876.0,472.0,500.0,904.0,340.0,3121.0,657.0,427.0,479.0,575.0,476.0,276.0,92.0,139.0,39,153,510500
"Census Tract 5201.03, Summit County, Ohio",2390.0,1054.0,282.0,223.0,549.0,171.0,1851.0,323.0,183.0,350.0,346.0,333.0,161.0,72.0,83.0,39,153,520103
"Census Tract 5201.04, Summit County, Ohio",3967.0,1923.0,385.0,562.0,976.0,212.0,3025.0,375.0,222.0,438.0,478.0,828.0,328.0,189.0,167.0,39,153,520104
"Census Tract 5201.05, Summit County, Ohio",4188.0,1705.0,522.0,616.0,567.0,401.0,3087.0,471.0,227.0,502.0,533.0,640.0,268.0,114.0,332.0,39,153,520105
"Census Tract 5201.06, Summit County, Ohio",2676.0,1473.0,221.0,389.0,863.0,117.0,2330.0,288.0,257.0,227.0,308.0,427.0,322.0,105.0,396.0,39,153,520106
