name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"5001 Peachtree Blvd Ste 300, Atlanta, GA 30341, United States",4.4,1559,33.8850057,-84.3144489
Whole Foods Market,"1815 E Victory Dr Ste 101, Savannah, GA 31404, United States",4.3,1663,32.0431816,-81.0716309
Whole Foods Market,"501 S Bowman Rd, Little Rock, AR 72211, United States",4.4,1819,34.7504475,-92.4057931
Whole Foods Market,"1566 W McEwen Dr, Franklin, TN 37067, United States",4.4,1746,35.934211,-86.8249366
Whole Foods Market,"14956 Pines Blvd, Pembroke Pines, FL 33027, United States",4.5,1888,26.0063579,-80.3496818
Whole Foods Market,"810 N University Dr, Coral Springs, FL 33071, United States",4.4,1653,26.2425603,-80.256787
Whole Foods Market,"5298 University Pkwy, Sarasota, FL 34243, United States",4.4,1451,27.3868842,-82.4644462
Whole Foods Market,"6891 Daniels Pkwy Suite 100, Fort Myers, FL 33912, United States",4.4,1579,26.5478696,-81.8420747
Whole Foods Market,"Whole Foods Market, 11701 Lake Victoria Gardens Ave, Palm Beach Gardens, FL 33410, United States",4.4,1196,26.8482859,-80.0943341
Whole Foods Market,"1030 N Orlando Ave, Winter Park, FL 32789, United States",4.5,2479,28.6067993,-81.36338549999999
Whole Foods Market,"3490 SW Archer Rd, Gainesville, FL 32608, United States",4.3,1204,29.6254076,-82.37590070000002
Whole Foods Market,"305 E Altamonte Dr Suite 1000, Altamonte Springs, FL 32701, United States",4.4,1559,28.6640218,-81.3812387
Whole Foods Market,"10601 San Jose Blvd, Jacksonville, FL 32257, United States",4.4,1868,30.1850062,-81.62600499999999
Whole Foods Market,"2000 N Federal Hwy, Fort Lauderdale, FL 33305, United States",4.4,1620,26.1537364,-80.11764629999999
Whole Foods Market,"12150 Biscayne Blvd, North Miami, FL 33181, United States",4.5,2977,25.8881039,-80.165447
Whole Foods Market,"6701 Red Rd, Coral Gables, FL 33143, United States",4.5,2269,25.7064348,-80.2853361
Whole Foods Market,"1020 Alton Rd, Miami Beach, FL 33139, United States",4.4,3023,25.7810931,-80.1413755
Whole Foods Market,"1845 Palm Beach Lakes Blvd, West Palm Beach, FL 33401, United States",4.5,1906,26.7206634,-80.0892848
Whole Foods Market,"501 SE 17th St, Fort Lauderdale, FL 33316, United States",4.5,1180,26.1004534,-80.137528
