B01003_001E,NAME,state,county,tract
2095,"Census Tract 9116.01, Muskingum County, Ohio",39,119,911601
3479,"Census Tract 9116.02, Muskingum County, Ohio",39,119,911602
3550,"Census Tract 9117, Muskingum County, Ohio",39,119,911700
3329,"Census Tract 9118, Muskingum County, Ohio",39,119,911800
3086,"Census Tract 9119, Muskingum County, Ohio",39,119,911900
5359,"Census Tract 7205, Carroll County, Ohio",39,019,720500
2891,"Census Tract 7206, Carroll County, Ohio",39,019,720600
3158,"Census Tract 7207, Carroll County, Ohio",39,019,720700
1991,"Census Tract 101, Champaign County, Ohio",39,021,010100
6879,"Census Tract 102, Champaign County, Ohio",39,021,010200
3621,"Census Tract 104, Champaign County, Ohio",39,021,010400
3973,"Census Tract 105, Champaign County, Ohio",39,021,010500
3868,"Census Tract 106, Champaign County, Ohio",39,021,010600
2658,"Census Tract 110.01, Champaign County, Ohio",39,021,011001
4449,"Census Tract 115.01, Champaign County, Ohio",39,021,011501
5289,"Census Tract 115.04, Champaign County, Ohio",39,021,011504
3228,"Census Tract 115.05, Champaign County, Ohio",39,021,011505
2905,"Census Tract 115.06, Champaign County, Ohio",39,021,011506
1597,"Census Tract 2, Clark County, Ohio",39,023,000200
1840,"Census Tract 3, Clark County, Ohio",39,023,000300
2320,"Census Tract 4, Clark County, Ohio",39,023,000400
1644,"Census Tract 5, Clark County, Ohio",39,023,000500
3024,"Census Tract 6, Clark County, Ohio",39,023,000600
2480,"Census Tract 7, Clark County, Ohio",39,023,000700
2080,"Census Tract 9.01, Clark County, Ohio",39,023,000901
1170,"Census Tract 9.02, Clark County, Ohio",39,023,000902
1604,"Census Tract 10, Clark County, Ohio",39,023,001000
1329,"Census Tract 11.01, Clark County, Ohio",39,023,001101
2936,"Census Tract 11.02, Clark County, Ohio",39,023,001102
4050,"Census Tract 12, Clark County, Ohio",39,023,001200
3799,"Census Tract 13, Clark County, Ohio",39,023,001300
4083,"Census Tract 14, Clark County, Ohio",39,023,001400
4407,"Census Tract 15, Clark County, Ohio",39,023,001500
3461,"Census Tract 16, Clark County, Ohio",39,023,001600
2498,"Census Tract 17, Clark County, Ohio",39,023,001700
2757,"Census Tract 19, Clark County, Ohio",39,023,001900
2080,"Census Tract 20, Clark County, Ohio",39,023,002000
1928,"Census Tract 21, Clark County, Ohio",39,023,002100
4252,"Census Tract 22, Clark County, Ohio",39,023,002200
3145,"Census Tract 23.01, Clark County, Ohio",39,023,002301
3399,"Census Tract 24.03, Clark County, Ohio",39,023,002403
4458,"Census Tract 7204, Carroll County, Ohio",39,019,720400
3285,"Census Tract 24.04, Clark County, Ohio",39,023,002404
2064,"Census Tract 25.01, Clark County, Ohio",39,023,002501
3450,"Census Tract 25.02, Clark County, Ohio",39,023,002502
3941,"Census Tract 26.01, Clark County, Ohio",39,023,002601
3461,"Census Tract 26.02, Clark County, Ohio",39,023,002602
3897,"Census Tract 26.05, Clark County, Ohio",39,023,002605
3685,"Census Tract 26.07, Clark County, Ohio",39,023,002607
3663,"Census Tract 26.08, Clark County, Ohio",39,023,002608
3029,"Census Tract 27.01, Clark County, Ohio",39,023,002701
2576,"Census Tract 27.02, Clark County, Ohio",39,023,002702
3126,"Census Tract 13.01, Franklin County, Ohio",39,049,001301
2400,"Census Tract 13.02, Franklin County, Ohio",39,049,001302
1875,"Census Tract 14, Franklin County, Ohio",39,049,001400
2122,"Census Tract 15, Franklin County, Ohio",39,049,001500
2218,"Census Tract 16, Franklin County, Ohio",39,049,001600
3065,"Census Tract 17, Franklin County, Ohio",39,049,001700
4061,"Census Tract 18.10, Franklin County, Ohio",39,049,001810
2380,"Census Tract 18.20, Franklin County, Ohio",39,049,001820
2639,"Census Tract 19.01, Franklin County, Ohio",39,049,001901
4430,"Census Tract 19.02, Franklin County, Ohio",39,049,001902
3279,"Census Tract 20, Franklin County, Ohio",39,049,002000
2353,"Census Tract 21, Franklin County, Ohio",39,049,002100
3252,"Census Tract 22, Franklin County, Ohio",39,049,002200
1520,"Census Tract 23, Franklin County, Ohio",39,049,002300
