STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,lat,long
"39","035","161600","39035161600","1616",Census Tract 1616,G5020,S,"459445","0","+41.4807236","-081.7784046",035_161600,35_161600,,35_161600,Cuyahoga County,"Census Tract 1616, Cuyahoga County, Ohio","138","23","32","39","44","1512","60","70","396","353","123","316","194","1382","510","393","390","205","259","256","127","544","39","35","161600","1959",35_161600,"1959",41.480724,-81.778405
"39","035","170101","39035170101","1701.01",Census Tract 1701.01,G5020,S,"1683169","0","+41.5288590","-081.5021863",035_170101,35_170101,,35_170101,Cuyahoga County,"Census Tract 1701.01, Cuyahoga County, Ohio","147","36","32","57","22","2329","9","27","598","572","116","582","425","2293","1007","449","429","172","242","242","152","790","39","35","170101","2835",35_170101,"2835",41.528859,-81.502186
"39","035","171102","39035171102","1711.02",Census Tract 1711.02,G5020,S,"2779762","0","+41.4129893","-081.5469889",035_171102,35_171102,,35_171102,Cuyahoga County,"Census Tract 1711.02, Cuyahoga County, Ohio","290","0","85","0","205","3002","0","380","641","1141","381","309","150","2622","459","494","399","87","423","382","115","1419","39","35","171102","4047",35_171102,"4047",41.412989,-81.546989
"39","035","160900","39035160900","1609",Census Tract 1609,G5020,S,"1669572","0","+41.4729942","-081.8206369",035_160900,35_160900,,35_160900,Cuyahoga County,"Census Tract 1609, Cuyahoga County, Ohio","195","42","17","64","72","2585","99","144","405","413","236","744","544","2342","1288","665","641","469","570","510","247","885","39","35","160900","3530",35_160900,"3530",41.472994,-81.820636
"39","035","161100","39035161100","1611",Census Tract 1611,G5020,S,"907035","0","+41.4775854","-081.8084302",035_161100,35_161100,,35_161100,Cuyahoga County,"Census Tract 1611, Cuyahoga County, Ohio","235","41","54","115","25","2362","34","26","400","551","148","779","424","2302","1203","738","738","483","502","502","359","706","39","35","161100","3354",35_161100,"3354",41.477586,-81.808430
"39","035","161200","39035161200","1612",Census Tract 1612,G5020,S,"707146","0","+41.4774860","-081.8027618",035_161200,35_161200,,35_161200,Cuyahoga County,"Census Tract 1612, Cuyahoga County, Ohio","149","48","18","46","37","2057","116","57","289","347","241","659","348","1884","1007","679","671","312","356","338","228","710","39","35","161200","2642",35_161200,"2642",41.477486,-81.802762
"39","035","161400","39035161400","1614",Census Tract 1614,G5020,S,"932643","0","+41.4779060","-081.7912518",035_161400,35_161400,,35_161400,Cuyahoga County,"Census Tract 1614, Cuyahoga County, Ohio","239","0","109","87","43","2412","93","172","635","460","164","657","231","2147","888","1000","951","558","349","263","134","686","39","35","161400","3225",35_161400,"3225",41.477906,-81.791252
"39","035","161500","39035161500","1615",Census Tract 1615,G5020,S,"1012091","0","+41.4768637","-081.7841469",035_161500,35_161500,,35_161500,Cuyahoga County,"Census Tract 1615, Cuyahoga County, Ohio","451","7","172","195","77","2622","9","208","513","476","169","806","441","2405","1247","937","913","532","482","445","313","730","39","35","161500","3779",35_161500,"3779",41.476864,-81.784147
"39","035","170201","39035170201","1702.01",Census Tract 1702.01,G5020,S,"4371193","13440","+41.5134842","-081.5026161",035_170201,35_170201,,35_170201,Cuyahoga County,"Census Tract 1702.01, Cuyahoga County, Ohio","134","11","39","84","0","1769","25","82","289","287","181","430","475","1662","905","143","143","107","208","208","129","503","39","35","170201","2128",35_170201,"2128",41.510256,-81.499265
"39","035","170202","39035170202","1702.02",Census Tract 1702.02,G5020,S,"2580627","1195","+41.5096006","-081.4794201",035_170202,35_170202,,35_170202,Cuyahoga County,"Census Tract 1702.02, Cuyahoga County, Ohio","190","13","85","36","56","3250","58","45","562","582","245","1087","671","3147","1758","623","613","424","317","317","242","1000","39","35","170202","3898",35_170202,"3898",41.510580,-81.479177
